id_empregado;primeironome;nomemeio;ultimonome;namestyle;datanascimento;email;telefone;sexo;departamento
2;Kevin                                             ;F                                                 ;Brown                                             ;N;1986/12/01 00:00:00.000000000;kevin0@adventure-works.com                        ;150-555-0189             ;M;Marketing                                         
3;Roberto                                           ;                                                  ;Tamburello                                        ;N;1974/06/12 00:00:00.000000000;roberto0@adventure-works.com                      ;212-555-0187             ;M;Engineering                                       
7;David                                             ;M                                                 ;Bradley                                           ;N;1974/10/17 00:00:00.000000000;david0@adventure-works.com                        ;913-555-0172             ;M;Marketing                                         
8;David                                             ;M                                                 ;Bradley                                           ;N;1974/10/17 00:00:00.000000000;david0@adventure-works.com                        ;913-555-0172             ;M;Marketing                                         
11;Gail                                              ;A                                                 ;Erickson                                          ;N;1952/04/27 00:00:00.000000000;gail0@adventure-works.com                         ;849-555-0139             ;F;Engineering                                       
13;Jossef                                            ;H                                                 ;Goldberg                                          ;N;1958/10/09 00:00:00.000000000;jossef0@adventure-works.com                       ;122-555-0189             ;M;Engineering                                       
14;Terri                                             ;Lee                                               ;Duffy                                             ;N;1971/03/01 00:00:00.000000000;terri0@adventure-works.com                        ;819-555-0175             ;F;Engineering                                       
30;Ashvini                                           ;R                                                 ;Sharma                                            ;N;1976/10/25 00:00:00.000000000;ashvini0@adventure-works.com                      ;656-555-0119             ;M;Information Services                              
32;Paula                                             ;M                                                 ;Barreto de Mattos                                 ;N;1975/09/11 00:00:00.000000000;paula0@adventure-works.com                        ;523-555-0175             ;F;Human Resources                                   
36;Susan                                             ;W                                                 ;Eaton                                             ;N;1977/09/17 00:00:00.000000000;susan0@adventure-works.com                        ;943-555-0196             ;F;Shipping and Receiving                            
37;Vamsi                                             ;N                                                 ;Kuppa                                             ;N;1976/10/16 00:00:00.000000000;vamsi0@adventure-works.com                        ;937-555-0137             ;M;Shipping and Receiving                            
43;Peng                                              ;J                                                 ;Wu                                                ;N;1975/10/17 00:00:00.000000000;peng0@adventure-works.com                         ;164-555-0164             ;M;Quality Assurance                                 
44;Jean                                              ;E                                                 ;Trenary                                           ;N;1975/07/13 00:00:00.000000000;jean0@adventure-works.com                         ;685-555-0120             ;F;Information Services                              
48;Sariya                                            ;E                                                 ;Harnpadoungsataya                                 ;N;1986/12/19 00:00:00.000000000;sariya0@adventure-works.com                       ;399-555-0176             ;M;Marketing                                         
49;Willis                                            ;T                                                 ;Johnson                                           ;N;1978/02/15 00:00:00.000000000;willis0@adventure-works.com                       ;778-555-0141             ;M;Human Resources                                   
51;Christian                                         ;E                                                 ;Kleinerman                                        ;N;1975/08/18 00:00:00.000000000;christian0@adventure-works.com                    ;846-555-0157             ;M;Facilities and Maintenance                        
56;Tengiz                                            ;N                                                 ;Kharatishvili                                     ;N;1989/11/26 00:00:00.000000000;tengiz0@adventure-works.com                       ;910-555-0116             ;M;Document Control                                  
61;Deborah                                           ;E                                                 ;Poe                                               ;N;1975/10/05 00:00:00.000000000;deborah0@adventure-works.com                      ;602-555-0194             ;F;Finance                                           
68;Janaina                                           ;Barreiro Gambaro                                  ;Bueno                                             ;N;1984/08/30 00:00:00.000000000;janaina0@adventure-works.com                      ;623-555-0155             ;F;Information Services                              
72;Mindy                                             ;C                                                 ;Martin                                            ;N;1984/06/20 00:00:00.000000000;mindy0@adventure-works.com                        ;522-555-0147             ;F;Human Resources                                   
73;Wendy                                             ;Beth                                              ;Kahn                                              ;N;1984/05/11 00:00:00.000000000;wendy0@adventure-works.com                        ;248-555-0134             ;F;Finance                                           
74;Kim                                               ;T                                                 ;Ralls                                             ;N;1983/11/29 00:00:00.000000000;kim0@adventure-works.com                          ;309-555-0129             ;F;Shipping and Receiving                            
79;Sean                                              ;P                                                 ;Alexander                                         ;N;1975/10/05 00:00:00.000000000;sean0@adventure-works.com                         ;420-555-0173             ;M;Quality Assurance                                 
